ship_id,ship_name,ship_class,ship_type,points,flank_speed,armour,hull,traits,ship_image,nation,nation_name,unit_id
1,Ammunition Ship,Ammunition Ship,Civilian,25,"3""",1+,13/4,"Lumbering, Explosive",ammo_ship.png,french_ensign.png,France,1
2,Ammunition Ship (1942),Ammunition Ship,Civilian,35,"3""",1+,13/4,"Lumbering, Explosive",ammo_ship.png,french_ensign.png,France,2
3,Ammunition Ship (1944),Ammunition Ship,Civilian,35,"3""",1+,13/4,"Lumbering, Explosive",ammo_ship.png,french_ensign.png,France,3
4,Armed Merchant Cruiser,Merchant Cruiser,Civilian,25,"3""",1+,15/5,Lumbering,merch_cruiser.png,french_ensign.png,France,4
5,Liberty Ship,Cargo Ship,Civilian,25,"2""",1+,10/3,Lumbering,liberty.png,french_ensign.png,France,6
6,Liner,Liner,Civilian,25,"6""",1+,72/24,Lumbering,liner.png,french_ensign.png,France,7
7,Oil Tanker,Oil Tanker,Civilian,30,"4""",1+,15/5,"Lumbering, Volatile",tanker.png,french_ensign.png,France,8
8,Oil Tanker (1942),Oil Tanker,Civilian,40,"4""",1+,15/5,"Lumbering, Volatile",tanker.png,french_ensign.png,France,9
9,Oil Tanker (1944),Oil Tanker,Civilian,50,"4""",1+,15/5,"Lumbering, Volatile",tanker.png,french_ensign.png,France,10
10,Seaplane Tender,Seaplane Tender,Civilian,25,"4""",1+,12/4,"Aircraft 6, Lumbering",seaplane_tender.png,french_ensign.png,France,16
11,Tramp Freighter,Tramp Freighter,Civilian,10,"2""",1+,6/2,,tramp_freighter.png,french_ensign.png,France,17
12,Troop Ship,Troop Ship,Civilian,25,"3""",1+,16/5,Lumbering,troop_ship.png,french_ensign.png,France,18
13,Victory Ship,Cargo Ship,Civilian,30,"3""",1+,14/4,Lumbering,victory.png,french_ensign.png,France,19
14,Minerve,Minerve,Submarine,60,"3""",2+,2/1,"Submarine, Agile",minerve_sub.png,french_ensign.png,France,29
15,Surcouf,Surcouf,Submarine,90,"4""",2+,9/3,"Aircraft 1, Submarine, Sub-Hunter",surcouf_sub.png,french_ensign.png,France,30
16,Bretagne,Bretagne,Battleship,350,"4""",5+,53/17,Torpedo Belt 2,bretagne_1940.png,french_ensign.png,France,636
17,Lorraine (1939),Bretagne,Battleship,330,"4""",5+,53/17,"Aircraft 4, Torpedo Belt 2",lorraine_1939.png,french_ensign.png,France,637
18,Lorraine (1940),Bretagne,Battleship,325,"4""",5+,53/17,"Aircraft 3, Torpedo Belt 2",lorraine_1941.png,french_ensign.png,France,638
19,Lorraine (1944),Bretagne,Battleship,330,"4""",5+,53/17,"Aircraft 3, Torpedo Belt 2",lorraine_1944.png,french_ensign.png,France,639
20,Courbet,Courbet,Battleship,250,"3""",5+,51/17,Torpedo Belt 2,courbet_1940.png,french_ensign.png,France,640
21,Dunkerque,Dunkerque,Battleship,360,"6""",5+,70/23,"Aircraft 3, Torpedo Belt 3, Armored Deck",dunkerque_1940.png,french_ensign.png,France,641
22,Strasbourg,Dunkerque,Battleship,370,"6""",5+,73/24,"Aircraft 3, Torpedo Belt 3, Armored Deck",strasbourg_1942.png,french_ensign.png,France,642
23,Richelieu,Richelieu,Battleship,450,"6""",6+,95/31,"Aircraft 3, Torpedo Belt 3, Armored Deck",richelieu_1940.png,french_ensign.png,France,643
24,Richelieu (1943),Richelieu,Battleship,585,"6""",6+,95/31,"Torpedo Belt 3, Armored Deck, Advanced Radar",richelieu_1943.png,french_ensign.png,France,644
25,Richelieu (1945),Richelieu,Battleship,585,"6""",6+,95/31,"Torpedo Belt 3, Armored Deck, Advanced Radar",richelieu_1945.png,french_ensign.png,France,645
26,Jean Bart (1940),Richelieu,Battleship,175,"6""",6+,95/31,"Torpedo Belt 3, Armored Deck",jean_bart_1940.png,french_ensign.png,France,646
27,Jean Bart (1942),Richelieu,Battleship,190,"6""",6+,95/31,"Torpedo Belt 3, Armored Deck",jean_bart_1942.png,french_ensign.png,France,647
28,Bearn,Bearn,Carrier,160,"4""",2+,57/19,"Aircraft 10, Carrier",bearn_1939.png,french_ensign.png,France,648
29,Bearn (1943),Bearn,Carrier,160,"4""",2+,57/19,"Carrier, Advanced Radar",bearn_1945.png,french_ensign.png,France,649
30,Algerie,Algerie,Cruiser,135,"6""",3+,27/9,"Aircraft 2, Armored Deck",algerie_1941.png,french_ensign.png,France,650
31,Duguay-Trouin,Duguay-Trouin,Cruiser,145,"7""",1+,19/6,"Aircraft 2, Armored Deck, Agile",duguay_1939.png,french_ensign.png,France,651
32,Duguay-Trouin (1939),Duguay-Trouin,Cruiser,165,"7""",1+,19/6,"Aircraft 2, Armored Deck, Agile, Sub-Hunter",duguay_1939.png,french_ensign.png,France,652
