ship_id,weapon_system,fire_arc,point_blank,short,long,extreme,ad,ap,dd,traits
1,Light Guns (1 x 5-inch),"Aft, Port, Starboard","2""","4""","6""","8""",1,-2,1,Weak
1,AA Battery,"Fore, Aft, Port, Starboard",-,-,-,-,-,-,-,Local (1)
2,Light Guns (1 x 5-inch),"Aft, Port, Starboard","4""","9""","13""","18""",1,-2,1,Weak
2,AA Battery,"Fore, Aft, Port, Starboard","1""","3""","4""","6""",1,-,-,Local (1)
3,Light Guns (1 x 5-inch),"Aft, Port, Starboard","4""","9""","13""","18""",1,-2,1,Weak
3,AA Battery,"Fore, Aft, Port, Starboard","1""","3""","4""","6""",2,-,-,Local (1)
4,Light Guns (8 x 6-inch),"Fore, Aft, Port, Starboard","3""","6""","9""","13""",6,-2,1,"Restricted, Weak"
4,AA Battery,"Fore, Aft, Port, Starboard",-,-,-,-,-,-,-,Local (1)
5,Light Guns (1 x 5-inch),"Aft, Port, Starboard","4""","9""","13""","18""",1,-2,1,"DP, Slow-Loading, Weak"
5,AA Battery,"Fore, Aft, Port, Starboard","1""","3""","4""","6""",1,-,-,Local (1)
6,Light Guns (1 x 4-inch),"Aft, Port, Starboard","3""","6""","9""","12""",1,-2,1,"Weak, Slow-Loading"
6,AA Battery,"Fore, Aft, Port, Starboard",-,-,-,-,-,-,-,Local (1)
7,Light Guns (1 x 5-inch),"Aft, Port, Starboard","4""","8""","12""","16""",1,-2,1,"Weak, Slow-Loading"
7,AA Battery,"Fore, Aft, Port, Starboard",-,-,-,-,-,-,-,Local (1)
8,Light Guns (1 x 5-inch),"Aft, Port, Starboard","4""","9""","13""","18""",1,-2,1,"DP, Slow-Loading, Weak"
8,AA Battery,"Fore, Aft, Port, Starboard","1""","3""","4""","6""",1,-,-,Local (1)
9,Light Guns (1 x 5-inch),"Aft, Port, Starboard","4""","9""","13""","18""",1,-2,1,"DP, Slow-Loading, Weak"
9,AA Battery,"Fore, Aft, Port, Starboard","1""","3""","4""","6""",3,-,-,Local (1)
10,Light Guns (4 x 4.7-inch),"Fore, Aft, Port, Starboard","4""","8""","12""","16""",2,-2,1,"Restricted, Weak"
10,AA Battery,"Fore, Aft, Port, Starboard",-,-,-,-,-,-,-,Local (1)
11,Light Guns (1 x 4-inch),"Aft, Port, Starboard","3""","6""","9""","12""",1,-2,1,"Weak, Slow-Loading"
11,AA Battery,"Fore, Aft, Port, Starboard",-,-,-,-,-,-,-,Local (0)
12,Light Guns (1 x 4-inch),"Aft, Port, Starboard","3""","6""","9""","12""",1,-2,1,"Weak, Slow-Loading"
12,AA Battery,"Fore, Aft, Port, Starboard",-,-,-,-,-,-,-,Local (1)
13,Light Guns (1 x 5-inch),"Aft, Port, Starboard","4""","9""","13""","18""",1,-2,1,"DP, Slow-Loading, Weak"
13,AA Battery,"Fore, Aft, Port, Starboard","1""","3""","4""","6""",1,-,-,Local (1)
14,Light Guns (1 x 3-inch),"Fore, Aft, Port, Starboard","2""","4""","6""","8""",1,-2,1,"Slow-Loading, Weak"
14,Forward 24M Torpedoes,Fore,"1""","3""","4""","6""",4,-,3,"Devastating, One-Shot"
